CWE ID,commit ID,reason
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,no functions changed
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,no functions changed
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,unknown language
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,unknown language
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,unknown language
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,no functions changed
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,unknown language
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,unknown language
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,unknown language
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,no functions changed
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,no functions changed
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,no functions changed
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,no functions changed
190.0,8ed78486fcb065b5b459f14d4b1c3242f6d21ec7,list index out of range
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,unknown language
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,no functions changed
190.0,1537f40516d625fc5fa57db4fdfb737312fbc500,list index out of range
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,unknown language
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,unknown language
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,unknown language
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,no functions changed
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,no functions changed
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,unknown language
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,unknown language
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,unknown language
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,no functions changed
190.0,dd6040675ec18d19429f882caea6bb306ed6677a,unknown language
